"id","nombre","descripcion","tipo_capa","fecha_registro","id_categoria","id_institucion","usuario_registro","fecha_registro-2"
52,"Bocatomas",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
53,"Estación de Bombeo",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
54,"Canales de Derivación",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
55,"Canales de Trasvase",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
56,"Canales de Aducción",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
57,"Canales Laterales",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
58,"Drenes",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
59,"Puntos Críticos",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
60,"Faja Marginal",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
61,"Poblaciones Vulnerables por Activación de Quebradas",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
62,"Doméstico – Poblacional",NULL,1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
63,"Tomas","",1,NULL,2,172,1,"2026-02-18 10:17:21.177581-05"
64,"Entidades Públicas (E.P.) con CAP Provisional",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
65,"E.P. con asistencia técnica MCC y CAP",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
66,"E.P. con asistencia técnica en MCC",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
67,"E.P. con asistencia técnica en CAP",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
68,"E.P. con dotación aprobada",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
69,"E.P. con dotación y MPP aprobados",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
70,"E.P. con dotación, MPP y CPE aprobados",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
71,"Nacional",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
72,"Regional",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
73,"Local",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
74,"Convenios Colectivos - Local",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
75,"Convenios Colectivos - Nacional",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
76,"Convenios Colectivos - Regional",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
77,"Seguimiento a Seguridad y Salud en el Trabajo - Local",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
78,"Seguimiento a Seguridad y Salud en el Trabajo - Nacional",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
79,"Seguimiento a Seguridad y Salud en el Trabajo - Regional",NULL,1,NULL,17,55,1,"2026-02-18 10:17:21.177581-05"
