"id","nombre","descripcion","tipo_capa","publicar_geoperu","fecha_registro","id_categoria","id_institucion","usuario_crea","fecha_crea","usuario_modifica","fecha_modifica"
1219,"Caracterización de Precipitación - Mes de Abril.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1220,"Caracterización de Precipitación - Mes de Agosto.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1221,"Caracterización de Precipitación - Mes de Diciembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1222,"Caracterización de Precipitación - Mes de Diciembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1223,"Caracterización de Precipitación - Mes de Enero.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1224,"Caracterización de Precipitación - Mes de Febrero.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1225,"Caracterización de Precipitación - Mes de Julio.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1226,"Caracterización de Precipitación - Mes de Junio.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1227,"Caracterización de Precipitación - Mes de Marzo.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1228,"Caracterización de Precipitación - Mes de Mayo.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1229,"Caracterización de Precipitación - Mes de Noviembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1230,"Caracterización de Precipitación - Mes de Noviembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1231,"Caracterización de Precipitación - Mes de Octubre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1232,"Caracterización de Precipitación - Mes de Septiembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1233,"Caracterización de Precipitación del Departamento de Lima - Anual.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1234,"Caracterización de Precipitación del Departamento de Lima - Estación de Invierno.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1235,"Caracterización de Precipitación del Departamento de Lima - Estación de Otoño.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1236,"Caracterización de Precipitación del Departamento de Lima - Estación de Primavera.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1237,"Caracterización de Precipitación del Departamento de Lima - Estación de Verano.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1238,"Caracterización de Precipitación del Departamento de Lima - Mes de Abril.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1239,"Caracterización de Precipitación del Departamento de Lima - Mes de Agosto.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1240,"Caracterización de Precipitación del Departamento de Lima - Mes de Diciembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1241,"Caracterización de Precipitación del Departamento de Lima - Mes de Enero.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1242,"Caracterización de Precipitación del Departamento de Lima - Mes de Febrero.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1243,"Caracterización de Precipitación del Departamento de Lima - Mes de Julio.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1244,"Caracterización de Precipitación del Departamento de Lima - Mes de Junio.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1245,"Caracterización de Precipitación del Departamento de Lima - Mes de Marzo.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1246,"Caracterización de Precipitación del Departamento de Lima - Mes de Mayo.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1247,"Caracterización de Precipitación del Departamento de Lima - Mes de Noviembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1248,"Caracterización de Precipitación del Departamento de Lima - Mes de Octubre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1249,"Caracterización de Precipitación del Departamento de Lima - Mes de Septiembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1250,"Caracterización de Precipitación del Departamento de San Martín - Anual.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1251,"Caracterización de Precipitación del Departamento de San Martín - Estación de Invierno.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1252,"Caracterización de Precipitación del Departamento de San Martín - Estación de Otoño.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1253,"Caracterización de Precipitación del Departamento de San Martín - Estación de Primavera.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1254,"Caracterización de Precipitación del Departamento de San Martín - Estación de Verano.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1255,"Caracterización de Precipitación del Departamento de San Martín - Mes de Abril.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1256,"Caracterización de Precipitación del Departamento de San Martín - Mes de Agosto.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1257,"Caracterización de Precipitación del Departamento de San Martín - Mes de Diciembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1258,"Caracterización de Precipitación del Departamento de San Martín - Mes de Enero.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1259,"Caracterización de Precipitación del Departamento de San Martín - Mes de Febrero.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1333,"Gestión de Recursos Públicos",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1260,"Caracterización de Precipitación del Departamento de San Martín - Mes de Julio.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1261,"Caracterización de Precipitación del Departamento de San Martín - Mes de Junio.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1262,"Caracterización de Precipitación del Departamento de San Martín - Mes de Marzo.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1263,"Caracterización de Precipitación del Departamento de San Martín - Mes de Mayo.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1264,"Caracterización de Precipitación del Departamento de San Martín - Mes de Noviembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1265,"Caracterización de Precipitación del Departamento de San Martín - Mes de Octubre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1266,"Caracterización de Precipitación del Departamento de San Martín - Mes de Septiembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1267,"Caracterización de Temperatura Máxima - Anual",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1268,"Caracterización de Temperatura Máxima - Estación de Invierno.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1269,"Caracterización de Temperatura Máxima - Estación de Otoño.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1270,"Caracterización de Temperatura Máxima - Estación de Primavera.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1271,"Caracterización de Temperatura Máxima - Estación de Verano.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1272,"Caracterización de Temperatura Máxima - Mes de Abril.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1273,"Caracterización de Temperatura Máxima - Mes de Agosto.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1274,"Caracterización de Temperatura Máxima - Mes de Diciembre.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1275,"Caracterización de Temperatura Máxima - Mes de Enero.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1276,"Catastro Urbano Municipal",NULL,1,True,NULL,20,219,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1277,"Lotes formalizados",NULL,1,True,NULL,20,219,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1278,"Página de servicios de COFOPRI",NULL,1,True,NULL,20,219,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1279,"Caracterización de Temperatura Máxima - Mes de Febrero.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1280,"Caracterización de Temperatura Máxima - Mes de Julio.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1281,"Caracterización de Temperatura Máxima - Mes de Junio.",NULL,1,True,NULL,5,75,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1282,"Todos los operadores Internet Móvil",NULL,1,True,NULL,20,51,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1283,"Movistar",NULL,1,True,NULL,20,51,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1284,"Claro",NULL,1,True,NULL,20,51,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1285,"Entel",NULL,1,True,NULL,20,51,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1286,"Bitel",NULL,1,True,NULL,20,51,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1287,"Todos los operadores Cobertura Móvil",NULL,1,True,NULL,20,51,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1288,"Red de media tensión - Estructuras",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1289,"Red de media tensión - Tramos",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1290,"Red de baja tensión - Estructuras",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1291,"Red de baja tensión - Tramos",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1292,"Red de alumbrado público - Equipos",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1293,"Red de alumbrado público - Tramos",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1294,"Suministros eléctricos - Acometida",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1295,"Suministros eléctricos - Suministro",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1296,"Electricidad",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1297,"Gas Natural",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1298,"Subestación de distribución eléctrica",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1299,"Redes distribución de gas natural",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1300,"Tubería de conexión gas natural",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1301,"Válvulas de gas natural",NULL,1,True,NULL,17,52,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1302,"Datos de la convocatoria o invitación - Adjudicado",NULL,1,True,NULL,6,92,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1303,"Datos de la convocatoria o invitación - Consentido",NULL,1,True,NULL,6,92,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1304,"Datos de la convocatoria o invitación - Contratado",NULL,1,True,NULL,6,92,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1305,"ORTOFOTO_EMAPACOP_CAMPOVERDE",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1306,"ORTOFOTO_EMAPASANMARTIN_PICOTA_SECTOR1",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1307,"ORTOFOTO_EMAPASANMARTIN_PICOTA_SECTOR2",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1308,"ORTOFOTO_EMAPASANMARTIN_PICOTA_SECTOR3",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1309,"ORTOFOTO_EMAPASANMARTIN_PICOTA_SECTOR4",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1310,"ORTOFOTO_EMAPASANMARTIN_PICOTA_SECTOR5",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1311,"ORTOFOTO_EMAPASANMARTIN_PICOTA_SECTOR6",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1312,"OTASS_EPS_1",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1313,"OTASS_EPS_1",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1314,"ORTOFOTO_EMAPAVIGS",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1315,"OTASS_EPS_1",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1316,"WMSJ3TASS _AREASINFLUENCIA",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1317,"WMSJ3TASS _EPS",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1318,"Ortofoto de la ciudad de Bagua",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1319,"Ortofoto de Alta Resolución de la ciudad de Bagua",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1320,"Ortofoto de la ciudad de Huaral",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1321,"Ortofoto de la ciudad de Chachapoyas",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1322,"Ortofoto de la ciudad de Barranca",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1323,"Ortofoto de la ciudad de Jaén",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1324,"Ortofoto de la ciudad de San Ignacio",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1325,"Ortofoto de la ciudad de Moyobamba",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1326,"Ortofoto de la ciudad de Tocache",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1327,"Ortofoto de la ciudad de Bagua Grande",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1328,"Ortofoto de Alta Resolución de la ciudad de Bagua Grande",NULL,1,True,NULL,20,218,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1329,"Proyectos Plan COPESCO Nacional",NULL,1,True,NULL,17,209,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1330,"Transportes",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1331,"Agrarios",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1332,"Demarcación territorial",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1334,"Hídricos",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1335,"Hidrocarburos Socioambiental",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1336,"Industria Socioambiental",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1337,"Infraestructura Socioambiental",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1338,"Invasión de Terrenos",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1339,"Laborales Gremiales",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1340,"Mineria Ilegal Informal",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1341,"Minería Laboral",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1342,"Mineria Socioambiental",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1343,"Otros",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1344,"Ámbito VRAEM",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1345,"Consejo de Coordinación Regional (CCR)",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1346,"Puntos Estratégicos Uayki",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1347,"MAC Express PIAS",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1348,"MAC Express TAMBOS",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1349,"MAC Express Municipalidades",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1350,"M.R. de los Andes - MRDLA",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1351,"M.R. de Qhapaq Ñan Nor Amazónico",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1352,"M.R. Costa Norte",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1353,"M.R. Macro Región Sur",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1354,"M.R. Pacífico Centro Amazónica -PACA",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1355,"M.R. Huancavelica Ica - MANRHI",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
