"id","id_capa","id_tipo_servicio","direccion_web","nombre_capa","titulo_capa","estado","id_layer","usuario_registro","fecha_registro"
1416,135,11,"https://espacialg.geoperu.gob.pe/geoserver/satelite/7_PeruSAT_RGB/wms?service=WMS&request=GetCapabilities","7_PeruSAT_RGB","7_PeruSAT_RGB",True,42181,1,"2026-02-18 11:14:23.709268-05"
1417,826,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_02_dist_midis_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_02_dist_midis_","SECTORES GOBIERNO NACIONAL | Proyectos - Distrital",True,4911,1,"2026-02-18 11:14:23.709268-05"
1418,1163,11,"https://geoservidorperu.minam.gob.pe/arcgis/services/Catalogo_Imagenes/MapServer/WMSServer?request=GetCapabilities&service=WMS","4","MINAM Vuelos DRONE",True,42365,1,"2026-02-18 11:14:23.709268-05"
1419,965,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20250521115611___CEM_2025_FISICA/wms?service=WMS&request=GetCapabilities","20250521115611___CEM_2025_FISICA","20250521115611___CEM_2025_FISICA",True,40875,1,"2026-02-18 11:14:23.709268-05"
1420,656,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_03_dist_pcm_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_03_dist_pcm_","SECTORES GOBIERNO NACIONAL | PCM | Actividades - Distrital",True,604,1,"2026-02-18 11:14:23.709268-05"
1421,1113,17,"http://giserver.proviasnac.gob.pe/arcgis/rest/services/PROVIAS/MTC_Puentes/MapServer","","",False,0,1,"2026-02-18 11:14:23.709268-05"
1422,1033,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20251027171504___Optometria_Distrito_Julio_2025/wms?service=WMS&request=GetCapabilities","20251027171504___Optometria_Distrito_Julio_2025","20251027171504___Optometria_Distrito_Julio_2025",True,41692,1,"2026-02-18 11:14:23.709268-05"
1423,1305,11,"https://sig.otass.gob.pe/server/services/IMAGENES/ORTOFOTO_EMAPACOP_CAMPOVERDE/MapServer/WMSServer?service=WMS&request=GetCapabilities","0","ORTOFOTO_EMAPACOP_CAMPOVERDE",True,42334,1,"2026-02-18 11:14:23.709268-05"
1424,1902,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_11_02/11_02_001_03_001_531_0000_00_00/ows?service=WMS&request=GetCapabilities","11_02_001_03_001_531_0000_00_00","RIESGO AGROCLIMATICO DE MAIZ",True,41878,1,"2026-02-18 11:14:23.709268-05"
1425,1492,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20240826112401___programa_llamkasun_2020/wms?service=WMS&request=GetCapabilities","20240826112401___programa_llamkasun_2020","20240826112401___programa_llamkasun_2020",True,40031,1,"2026-02-18 11:14:23.709268-05"
