n_documento,f_documento,f_recepcion,url_documento,usuario_registro,fecha_registro
OFICIO N° 000023-2026-CEPLAN-OGA,2026-02-10,2026-02-16,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/eece5e6f-b751-46e5-8b1c-f9b7e42681f8/OFICIO%20N%c2%b0%20000023-2026-CEPLAN-OGA.pdf,1,2026-03-27
OFICIO N° 000001-2023-PROMPERU-GG-OTI,2023-07-13,2023-03-16,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/2527461e-1652-46c1-881a-92fa7db9019a/OFICIO%20N%c2%b0%20000001-2023-PROMPERU-GG-OTI.pdf,1,2026-03-27
RESOLUCIÓN N° 000156-2024-PROMPERU-PE,2024-10-01,2024-12-26,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/5438ce63-ac50-4b55-a7ac-cee256af06fb/RESOLUCI%c3%93N%20N%c2%b0%20000156-2024-PROMPERU-PE.pdf,1,2026-03-27
OFICIO N° 00988-2024-CONIDA-JEINS,2024-10-21,2024-10-15,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/eaa2faac-00c5-469d-a0e6-aa333597e0af/OFICIO%20N%c2%b0%2000988-2024-CONIDA-JEINS.pdf,1,2026-03-27
CARTA N° 00195-2021-G,2021-04-29,2021-05-05,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/f868cc51-657a-40aa-a7cf-6bd675c69e36/CARTA%20N%c2%b0%2000195-2021-G.pdf,1,2026-03-27
OFICIO N° 699-DITELE-G-5-A-26,2022-05-12,2022-05-12,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/5908f204-e5c8-4555-9cb6-234235a24dcb/OFICIO%20N%c2%b0%20699-DITELE-G-5-A-26.pdf,1,2026-03-27
RESOLUCIÓN N° 000205-2024-DV-PE,2024-12-02,2024-12-02,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/54a6d35e-810b-4192-93f2-23fef7e0cd31/RESOLUCI%c3%93N%20N%c2%b0%20000205-2024-DV-PE.pdf,1,2026-03-27
RESOLUCIÓN DE PRESIDENCIA N° D000092-2023-CONADIS-PRE,2023-08-10,2026-02-11,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/fe402b1c-d22c-4ded-a13f-55b362550b89/RESOLUCI%c3%93N%20DE%20PRESIDENCIA%20N%c2%b0%20D000092-2023-CONADIS-PRE.pdf,1,2026-03-27
sin documento,2025-06-12,2025-06-12,,1,2026-03-27
G-1273-2022-EU,2022-10-26,2022-10-26,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/c6e6264c-d986-45c8-a4b1-515a3ad3a89c/G-1273-2022-EU.pdf,1,2026-03-27
ENOSA-R-0262-2024,2024-05-17,2024-08-08,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/1cd0fb00-014e-47a6-95ad-7fd7b57c9a3f/ENOSA-R-0262-2024.pdf,1,2026-03-27
OFICIO N° 00001-2024-EGEMSA-TIC,2024-06-27,2024-06-27,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/66c93635-d3c6-4068-96ea-1f2d8be36cc6/OFICIO%20N%c2%b0%2000001-2024-EGEMSA-TIC.pdf,1,2026-03-27
RESOLUCIÓN DE CONTRALORÍA N° 244-2022-CG,2022-06-20,2023-12-27,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/76151f4d-75d7-4ee4-a974-dcce4542717c/RESOLUCI%c3%93N%20DE%20CONTRALOR%c3%8dA%20N%c2%b0%20244-2022-CG.pdf,1,2026-03-27
